Location,Fighter 1,Fighter 2,Fighter_1_KD,Fighter_2_KD,Fighter_1_STR,Fighter_2_STR,Fighter_1_TD,Fighter_2_TD,Fighter_1_SUB,Fighter_2_SUB,Weight_Class,Method,Round,Time,Event Name,Winner,year,month,day
11,126,214,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,6,13,1.0,75,299,125,2023,12,2
11,675,234,1.0,0.0,33.0,15.0,0.0,0.0,0.0,0.0,6,14,1.0,180,299,674,2023,12,2
11,408,1837,0.0,0.0,45.0,46.0,4.0,0.0,0.0,0.0,0,69,3.0,311,299,407,2023,12,2
11,1451,1267,0.0,0.0,14.0,18.0,5.0,0.0,3.0,0.0,10,48,3.0,114,299,1446,2023,12,2
11,760,429,0.0,0.0,46.0,43.0,2.0,2.0,2.0,0.0,6,69,3.0,311,299,759,2023,12,2
11,460,1759,1.0,0.0,64.0,31.0,4.0,0.0,1.0,0.0,7,58,2.0,261,299,459,2023,12,2
11,1140,1192,0.0,0.0,32.0,3.0,4.0,0.0,1.0,0.0,11,58,3.0,86,299,1138,2023,12,2
11,309,2288,0.0,0.0,9.0,4.0,1.0,0.0,0.0,1.0,7,15,1.0,120,299,308,2023,12,2
11,447,1075,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,6,15,1.0,112,299,446,2023,12,2
11,1379,878,0.0,1.0,80.0,73.0,1.0,0.0,0.0,0.0,5,14,2.0,268,299,1375,2023,12,2
11,695,2233,0.0,0.0,53.0,37.0,1.0,1.0,1.0,0.0,10,58,2.0,82,299,694,2023,12,2
11,1628,947,0.0,0.0,43.0,43.0,1.0,1.0,0.0,0.0,13,32,3.0,311,299,1623,2023,12,2
79,191,1714,0.0,0.0,32.0,6.0,2.0,0.0,2.0,1.0,7,58,3.0,33,299,190,2023,11,18
79,1129,923,0.0,0.0,84.0,57.0,0.0,0.0,0.0,0.0,10,69,3.0,311,299,1127,2023,11,18
79,259,1138,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,6,58,1.0,189,299,258,2023,11,18
79,1282,1648,0.0,0.0,28.0,5.0,0.0,2.0,1.0,0.0,0,58,3.0,53,299,1278,2023,11,18
79,77,1376,1.0,0.0,87.0,55.0,0.0,1.0,0.0,0.0,14,14,3.0,244,299,77,2023,11,18
79,1192,2183,0.0,0.0,8.0,14.0,7.0,0.0,1.0,0.0,10,50,2.0,263,299,1190,2023,11,18
79,757,1133,0.0,0.0,8.0,14.0,1.0,1.0,1.0,0.0,2,43,2.0,245,299,756,2023,11,18
79,826,349,0.0,0.0,63.0,26.0,1.0,4.0,1.0,0.0,0,58,3.0,300,299,825,2023,11,18
79,291,585,1.0,0.0,65.0,30.0,0.0,0.0,0.0,0.0,7,14,2.0,275,299,290,2023,11,18
79,1137,312,0.0,0.0,39.0,76.0,3.0,0.0,0.0,0.0,4,69,3.0,311,299,1135,2023,11,18
79,721,1377,1.0,0.0,4.0,11.0,1.0,0.0,0.0,0.0,2,13,1.0,102,299,720,2023,11,18
79,18,1380,0.0,0.0,42.0,20.0,2.0,0.0,0.0,1.0,11,69,3.0,311,299,18,2023,11,18
79,1604,1670,0.0,0.0,58.0,14.0,3.0,0.0,1.0,0.0,6,21,3.0,202,299,1599,2023,11,18
79,1316,359,0.0,0.0,18.0,72.0,3.0,0.0,1.0,0.0,3,69,3.0,311,299,1312,2023,11,18
104,51,1048,1.0,0.0,38.0,30.0,0.0,1.0,1.0,0.0,5,5,2.0,259,220,51,2023,11,11
104,1578,1981,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,4,13,1.0,80,220,1573,2023,11,11
104,739,1405,4.0,0.0,53.0,49.0,0.0,0.0,0.0,0.0,14,13,2.0,206,220,738,2023,11,11
104,161,1501,1.0,0.0,6.0,5.0,0.0,2.0,0.0,0.0,6,9,1.0,102,220,160,2023,11,11
104,428,1705,1.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,2,14,1.0,101,220,427,2023,11,11
104,1511,52,0.0,0.0,74.0,54.0,1.0,1.0,1.0,0.0,3,69,3.0,311,220,1506,2023,11,11
104,982,2069,0.0,0.0,98.0,84.0,0.0,0.0,0.0,0.0,14,32,3.0,311,220,980,2023,11,11
104,1086,1890,0.0,0.0,10.0,2.0,2.0,0.0,1.0,0.0,6,36,1.0,199,220,1084,2023,11,11
104,1212,2196,1.0,0.0,91.0,143.0,4.0,0.0,0.0,0.0,6,19,3.0,311,220,1210,2023,11,11
104,696,1470,1.0,0.0,36.0,35.0,0.0,0.0,0.0,0.0,6,13,1.0,293,220,695,2023,11,11
104,779,1327,0.0,0.0,111.0,88.0,3.0,0.0,0.0,0.0,1,69,3.0,311,220,778,2023,11,11
104,847,1279,0.0,0.0,156.0,75.0,2.0,0.0,0.0,0.0,3,69,3.0,311,220,846,2023,11,11
104,678,588,1.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,2,13,1.0,44,220,677,2023,11,11
142,665,597,0.0,0.0,38.0,20.0,6.0,0.0,4.0,0.0,4,69,5.0,311,299,664,2023,11,4
142,1228,761,1.0,0.0,53.0,39.0,0.0,3.0,0.0,1.0,10,12,2.0,284,299,1225,2023,11,4
142,1382,625,0.0,0.0,70.0,79.0,0.0,0.0,0.0,0.0,4,69,3.0,311,299,1378,2023,11,4
142,220,14,1.0,0.0,51.0,38.0,0.0,0.0,0.0,0.0,7,69,3.0,311,299,219,2023,11,4
142,485,1253,1.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,1,13,1.0,252,299,484,2023,11,4
142,1364,682,1.0,0.0,87.0,75.0,1.0,0.0,0.0,1.0,10,19,3.0,311,299,1360,2023,11,4
142,1644,1606,1.0,0.0,8.0,9.0,1.0,0.0,0.0,0.0,5,13,2.0,74,299,1639,2023,11,4
142,100,586,0.0,0.0,76.0,62.0,5.0,1.0,0.0,0.0,14,69,3.0,311,299,100,2023,11,4
142,475,1611,0.0,0.0,57.0,5.0,3.0,0.0,0.0,0.0,14,14,2.0,145,299,474,2023,11,4
142,1033,1251,0.0,0.0,13.0,23.0,3.0,1.0,0.0,0.0,6,32,3.0,311,299,1031,2023,11,4
0,643,78,1.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,6,9,1.0,197,219,642,2023,10,21
0,932,1239,0.0,0.0,38.0,36.0,4.0,0.0,1.0,0.0,7,19,3.0,311,219,930,2023,10,21
0,1015,1120,0.0,0.0,13.0,14.0,1.0,0.0,0.0,0.0,5,0,1.0,204,219,1013,2023,10,21
0,631,2231,1.0,0.0,26.0,12.0,0.0,0.0,0.0,0.0,7,14,1.0,138,219,630,2023,10,21
0,1428,1616,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0,43,1.0,84,219,1424,2023,10,21
0,1188,2116,0.0,0.0,14.0,30.0,3.0,1.0,1.0,2.0,3,35,3.0,194,219,1186,2023,10,21
0,1601,1607,0.0,0.0,61.0,43.0,4.0,1.0,0.0,1.0,6,69,3.0,311,219,1596,2023,10,21
0,716,2199,0.0,0.0,30.0,25.0,1.0,0.0,0.0,0.0,0,0,2.0,10,219,715,2023,10,21
0,1460,12,0.0,0.0,34.0,41.0,1.0,2.0,0.0,0.0,7,69,3.0,311,219,1455,2023,10,21
0,1143,140,1.0,0.0,92.0,103.0,0.0,0.0,0.0,0.0,6,13,3.0,191,219,1141,2023,10,21
0,1189,1639,0.0,0.0,48.0,50.0,4.0,2.0,0.0,0.0,2,69,3.0,311,219,1187,2023,10,21
0,1636,1047,1.0,0.0,74.0,47.0,0.0,1.0,0.0,0.0,14,69,3.0,311,219,1631,2023,10,21
0,1483,296,0.0,0.0,113.0,65.0,0.0,3.0,0.0,0.0,7,69,3.0,311,219,1478,2023,10,21
79,474,2024,1.0,1.0,164.0,178.0,3.0,1.0,0.0,0.0,2,69,5.0,311,299,473,2023,10,14
79,1645,1002,0.0,0.0,24.0,41.0,2.0,2.0,1.0,0.0,13,69,3.0,311,299,1640,2023,10,14
79,808,21,2.0,0.0,36.0,20.0,0.0,0.0,0.0,0.0,0,10,2.0,157,299,807,2023,10,14
79,1132,118,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7,13,1.0,77,299,1130,2023,10,14
79,293,320,0.0,0.0,83.0,73.0,3.0,0.0,2.0,1.0,0,69,3.0,311,299,292,2023,10,14
79,383,2063,0.0,0.0,11.0,15.0,5.0,2.0,2.0,0.0,2,58,3.0,154,299,382,2023,10,14
79,1533,1791,0.0,0.0,18.0,15.0,3.0,2.0,0.0,0.0,11,69,3.0,311,299,1528,2023,10,14
79,1550,269,1.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,6,11,1.0,15,299,1545,2023,10,14
